label,from_address,sent_tx_count,total_tokens_sent,token_symbol
,0x54ae5e4627a494045512df8a3d639d677493e2f6,1,853269080.4601269,XEN
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,853269080.4601269,XEN
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,219,37075970.00389771,FLC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,431,20260606.43681,USDC
,0x3416cf6c708da44db2624d63ea0aaef7113527c6,104,9462276.252183,USDC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,2,8809211.278771903,WPLS
,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,185,8142283.347363,USDC
,0x86c18e856e10185a19147d72d7740c7f4e8dab3e,4,7185294.11840612,FLC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,15,6576279.16764477,RNG
,0xe27be83f5448b832520186ee057a08684a139eb4,15,6557802.067830166,FLC
,0xcc2bd4f3c00c37adb00864d9a0a8cfef8b6ff56a,9,5032456.494362003,RNG
,0xcd08786e4f92fb6e1b3fb6dfb529c74d3f803498,1,4889750.62804705,WPLS
,0x4a2987c255ad7f9409c54a4fce7823441e14f08b,1,3919460.650724854,WPLS
,0xeccfc96eb88bf64a810fb57d24ab7ea2058b710d,10,3777463.199414342,FLC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,293,3155902.771385,USDT
,0x547dba0e7ecceb36ac3d53370a227294786a2995,22,2298256.887682741,FLC
,0x1945bbfe3d3238262979cee9cc090d3c0bdebadd,3,2101289.217069218,FLC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,281,1916749.8719326635,DAI
,0x11b815efb8f581194ae79006d24e0d814b7697f6,78,1880225.670168,USDT
,0x19fe9857bb3652e9007f2347a1f877ffa9215f7f,14,1805226.238668671,FLC
,0x5aeb2c73f4aca8e03d24a99464cf69171c9f2cfa,17,1640119.0233669695,FLC
,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,15,1613289.90669,USDC
,0x57aa6bf0ff200aa4f17aecdab02f975b097efff6,7,1447717.119541712,FLC
,0x2fec72b2be961af550db882e65ad0ddfb9a6021d,8,1233826.215612197,FLC
,0xb7c23ebf7ac13a821898c329e7a9105c9e5dff93,27,1111141.436388404,FLC
,0xe900aa6639427128799bd8fe6dde9c29e8525922,5,1097582.0274918654,FLC
,0xec99794d62060ed47fff6f0eca7576ec4e2bd44b,9,1096267.848337011,FLC
,0xe6a347d885f73eef47f621cd73ee5c89d85ea612,17,994944.8231456422,FLC
,0x2ad72ee26cfcd6de613d8f35fb589f3f57943486,6,938503.7398018575,FLC
,0xe286cfa6ee1b8b6a7a9769e294fe8a9ef3c7e784,15,899193.9312025713,FLC
,0x60594a405d53811d3bc4766596efd80fd545a270,111,778925.1295430933,DAI
,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,74,740580.7216107179,DAI
,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,122,683269.507346,USDT
,0x5777d92f208679db4b9778590fa3cab3ac9e2168,13,616191.567742,USDC
,0xfc35d45d3dc34fddf8221d6079a07da1822d91a7,7,609664.241868665,FLC
,0xb1eea7462248d21bf2ceb408cde85d399863c6f6,8,587186.0425219035,FLC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,584743.227176298,μy00t
,0x92741be6adcb2722681925afce9af0a7306ce90f,1,584743.227176298,μy00t
,0xe72377ae353edc1d07f6c0be34969a481d030d19,1,485042.08290927054,μBAYC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,485042.08290927054,μBAYC
